Barangay,Year,Month,Date,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Model_Used
Hagdang Bato Itaas,2026,4,2026-04-01,0.000003,-0.326192,0.484110,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,5,2026-05-01,0.000001,-0.326193,0.484107,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,6,2026-06-01,0.000000,-0.326194,0.484106,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,7,2026-07-01,0.000000,-0.326194,0.484106,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,8,2026-08-01,0.000000,-0.326194,0.484106,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,9,2026-09-01,0.002486,-0.324518,0.487796,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,10,2026-10-01,0.002486,-0.324518,0.487796,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Libis,2025,10,2025-10-01,0.090912,-0.277702,0.647641,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2025,11,2025-11-01,0.090911,-0.277758,0.647769,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2025,12,2025-12-01,0.090912,-0.277815,0.647898,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2026,1,2026-01-01,0.090484,-0.278154,0.647381,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2026,2,2026-02-01,0.090912,-0.277927,0.648155,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2026,3,2026-03-01,0.090912,-0.277984,0.648284,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2026,4,2026-04-01,0.090912,-0.278040,0.648413,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Hagdang Bato Libis,2026,5,2026-05-01,0.090505,-0.278365,0.647927,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
