id,barangay,record_type,date,value,created_at,updated_at
5646,"Namayan","forecast","""2025-10-31T16:00:00.000Z""","0.046",,
5647,"Namayan","forecast","""2025-11-30T16:00:00.000Z""","0.045",,
5648,"Namayan","forecast","""2025-12-31T16:00:00.000Z""","0.045",,
5649,"Namayan","forecast","""2026-01-31T16:00:00.000Z""","0.045",,
5650,"Namayan","forecast","""2026-02-28T16:00:00.000Z""","0.045",,
5651,"Namayan","forecast","""2026-03-31T16:00:00.000Z""","0.045",,
5652,"Namayan","forecast","""2026-04-30T16:00:00.000Z""","0.045",,
5653,"Namayan","forecast","""2026-05-31T16:00:00.000Z""","0.045",,
5654,"Namayan","forecast","""2026-06-30T16:00:00.000Z""","0.045",,
5655,"Namayan","forecast","""2026-07-31T16:00:00.000Z""","0.045",,
5656,"Namayan","forecast","""2026-08-31T16:00:00.000Z""","0.044",,
5657,"New Zaniga","forecast","""2025-09-30T16:00:00.000Z""","0.091",,
5658,"New Zaniga","forecast","""2025-10-31T16:00:00.000Z""","0.119",,
5659,"New Zaniga","forecast","""2025-11-30T16:00:00.000Z""","0.113",,
5660,"New Zaniga","forecast","""2025-12-31T16:00:00.000Z""","0.114",,
5661,"New Zaniga","forecast","""2026-01-31T16:00:00.000Z""","0.114",,
5662,"New Zaniga","forecast","""2026-02-28T16:00:00.000Z""","0.114",,
5663,"New Zaniga","forecast","""2026-03-31T16:00:00.000Z""","0.114",,
5664,"New Zaniga","forecast","""2026-04-30T16:00:00.000Z""","0.114",,
5665,"New Zaniga","forecast","""2026-05-31T16:00:00.000Z""","0.114",,
5666,"New Zaniga","forecast","""2026-06-30T16:00:00.000Z""","0.114",,
5667,"New Zaniga","forecast","""2026-07-31T16:00:00.000Z""","0.114",,
5668,"New Zaniga","forecast","""2026-08-31T16:00:00.000Z""","0.114",,
5669,"Old Zaniga","forecast","""2025-09-30T16:00:00.000Z""","0.068",,
5670,"Old Zaniga","forecast","""2025-10-31T16:00:00.000Z""","0.068",,
5671,"Old Zaniga","forecast","""2025-11-30T16:00:00.000Z""","0.068",,
5672,"Old Zaniga","forecast","""2025-12-31T16:00:00.000Z""","0.068",,
5673,"Old Zaniga","forecast","""2026-01-31T16:00:00.000Z""","0.068",,
5674,"Old Zaniga","forecast","""2026-02-28T16:00:00.000Z""","0.068",,
5675,"Old Zaniga","forecast","""2026-03-31T16:00:00.000Z""","0.068",,
5676,"Old Zaniga","forecast","""2026-04-30T16:00:00.000Z""","0.067",,
5677,"Old Zaniga","forecast","""2026-05-31T16:00:00.000Z""","0.068",,
5678,"Old Zaniga","forecast","""2026-06-30T16:00:00.000Z""","0.068",,
5679,"Old Zaniga","forecast","""2026-07-31T16:00:00.000Z""","0.068",,
5680,"Old Zaniga","forecast","""2026-08-31T16:00:00.000Z""","0.068",,
5681,"Pag-asa","forecast","""2025-09-30T16:00:00.000Z""","0.101",,
5682,"Pag-asa","forecast","""2025-10-31T16:00:00.000Z""","0.099",,
5683,"Pag-asa","forecast","""2025-11-30T16:00:00.000Z""","0.088",,
5684,"Pag-asa","forecast","""2025-12-31T16:00:00.000Z""","0.096",,
5685,"Pag-asa","forecast","""2026-01-31T16:00:00.000Z""","0.094",,
5686,"Pag-asa","forecast","""2026-02-28T16:00:00.000Z""","0.092",,
5687,"Pag-asa","forecast","""2026-03-31T16:00:00.000Z""","0.091",,
5688,"Pag-asa","forecast","""2026-04-30T16:00:00.000Z""","0.089",,
5689,"Pag-asa","forecast","""2026-05-31T16:00:00.000Z""","0.088",,
5690,"Pag-asa","forecast","""2026-06-30T16:00:00.000Z""","0.088",,
